doi,title,type,year,author,booktitle,pages,issue,volume,publisher,place,conference,date,abstract,repo_venue_tags,repo_analysis_tags,system_type_tag
10.1109/syscon48628.2021.9447082,A Software Maintenance Methodology: An Approach Applied to Software Aging,inproceedings,2021,Jean Araujo; Carlos Melo; Felipe Oliveira; Paulo Pereira; Rubens Matos,2021 IEEE International Systems Conference (SysCon),1-8,,,IEEE,,2021 IEEE International Systems Conference (SysCon),2021-4-15,"The increasing use of computational systems has highlighted concerns about attributes that may influence the quality of service, such as performance, availability, reliability, and maintenance capacity. Failures in the software development process may impact these attributes. Flawed code and overall software misdesign may cause internal errors, leading to system malfunction. Some errors might be identified and fixed during the software testing process. However, other errors may manifest only during the production stage. This is the case of the software aging phenomenon, which is related to the progressive degradation that a software performance or reliability suffers during its operational life. This paper proposes a methodology for software maintenance that is tailored to identify, correct, and mitigate the software aging effects. If the source code can be modified and a new version deployed with minimal impact, thus data from aging detection is used for corrective maintenance, i.e., for fixing the bug that causes the aging effects. If the software cannot be fixed nor its version updated without long system interruption or other bad consequences, then our approach can mitigate the aging effects, in a preventive maintenance to avoid service outages. The proposed methodology is validated through both Stochastic Petri Net (SPN) models and experiments in a controlled environment. The model evaluation considering a hybrid maintenance routine (preventive and corrective) yielded an availability of 99.82%, representing an annual downtime of 15.9 hours. By contrast, the baseline scenario containing only reactive maintenance (i.e., repairing only after failure) had more than 1342 hours of annual downtime- 80 times higher than the proposed approach.",SysCon,Model-based,非特定的
10.1109/issrew53611.2021.00037,Within-Project Software Aging Defect Prediction Based on Active Learning,inproceedings,2021,Mengting Liang; Dimeng Li; Bin Xu; Dongdong Zhao; Xiao Yu; Jianwen Xiang,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),1-8,,,IEEE,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2021-10,"Long-running software systems tend to exhibit performance degradation and increase failure rate, and the phenomenon is known as software aging. The bugs that cause the aging phenomenon are called Aging-Related Bugs (ARBs), and may bring serious economic loss or even endanger human security. To discover and remove ARBs, ARBs prediction is presented. But ARBs prediction model often needs a large number of training data in order to train a high performance classification model. In practice, the labeled data are rare in many cases. In addition, it is difficult to label all samples manually. Furthermore, there is a serious class imbalance problem in ARBs datasets. In order to address the two problems, we propose a framework named QUIRE-HUE. On the one hand, we use a approach named Active Learning by Querying Informative and Representative Examples (QUIRE) to select a few informative and representative samples to label for training set, which can reduce the cost of labeling and get a high performance classification model. On the other hand, we apply a Hashing-Based Undersampling Ensemble (HUE) by constructing diversified training subspaces for undersampling to alleviate class imbalance problem. A set of experiments are performed on two large open-source projects (MySQL, Linux) with six different machine learning classifiers. We use Balance and AUC as the evaluation metrics. Experimental results indicate that QUIRE-HUE achieves encouraging results. Average AUC and Balance are 0.769 and 0.812 respectively on MySQL dataset, 0.772 and 0.828 respectively on Linux dataset, which significantly outperforms all baseline methods.",ISSREW,ARB prediction,Linux
10.1109/issrew53611.2021.00043,Software Testing Strategies for Detecting Hypercall Handlers' Aging-related Bugs,inproceedings,2021,Lukas Beierlieb; Alberto Avritzer; Lukas Ifflander; Nuno Antunes; Aleksandar Milenkoski; Samuel Kounev,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),48-55,,,IEEE,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2021-10,"With the continuing rise of cloud technology hypervisors play a vital role in the performance and reliability of current services. As long-running applications, they are susceptible to software aging. Hypervisors offer so-called hypercall interfaces for communication with the hosted virtual machines. These interfaces require thorough testing to ensure their long-term reliability. Existing research deals with the aging properties of hypervisors in general without considering the hypercalls. In this work, we share our experience that we collected during trying to understand hypercalls and their parameters and use them to construct test cases for hypervisor aging of Microsoft Hyper-V. We present a bug that we detected, which was reported and acknowledged by Microsoft. Further, based on our manual binary code analysis, we propose the idea of automating the analysis process to detect valid parameter ranges and execution conditions of hypercalls without manual effort.",ISSREW,testing,
10.1109/issrew53611.2021.00038,Sensitivity Analysis of Software Rejuvenation Model with Markov Regenerative Process,inproceedings,2021,Junjun Zheng; Hiroyuki Okamura; Tadashi Dohi,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),9-16,,,IEEE,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2021-10,"This paper considers the parametric sensitivity of a software rejuvenation model for transaction systems whose system behavior is described by a quasi birth-and-death (QBD) process with Markovian arrivals, and the software rejuvenation model is represented by a Markov regenerative process (MRGP). The stationary analysis of the MRGP model is based on the embedding Markov chain (EMC) approach. Then the sensitivities of the stationary solution and the performance criteria of interest, i.e., the loss probability of transactions, with respect to all model parameters, are formulated. Finally, a numerical experiment was conducted to illustrate the critical parameters for a transaction system with software rejuvenation. The numerical results showed that the proposed approach effectively revealed critical model parameters and provided significant insights into performance optimization and parameter estimation.",ISSREW,Model-based,电子商务系统
10.1109/issrew53611.2021.00042,My Services Got Old! Can Kubernetes Handle the Aging of Microservices?,inproceedings,2021,Jose Flora; Paulo Goncalves; Miguel Teixeira; Nuno Antunes,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),40-47,,,IEEE,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2021-10,,ISSREW,testing,微服务架构Kubernetes
10.1109/issrew53611.2021.00041,Memory Degradation Analysis in Private and Public Cloud Environments,inproceedings,2021,Ermeson Andrade; Fumio Machida; Roberto Pietrantuono; Domenico Cotroneo,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),33-39,,,IEEE,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2021-10,"Memory degradation trends have been observed in many continuously running software systems. Applications running on cloud computing can also suffer from such memory degradation that may cause severe performance degradation or even experience a system failure. Therefore, it is essential to monitor such degradation trends and find the potential causes to provide reliable application services on cloud computing. In this paper, we consider both private and public cloud environments for deploying an image classification system and experimentally investigate the memory degradation that appeared in these environments. The degradation trends in the available memory statistics are confirmed by the Mann-Kendall test in both cloud environments. We apply causal structure discovery methods to process-level memory statistics to identify the causality of the observed memory degradations. Our analytical results identify the suspicious processes potentially leading to memory degradations in public and private cloud environments.",ISSREW,度量,云环境图像分类
10.1109/issrew53611.2021.00040,Evaluation of software aging in component-based Web Applications subject to soft errors over time,inproceedings,2021,Jacopo Parri; Samuele Sampietro; Leonardo Scommegna; Enrico Vicario,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),25-32,,,IEEE,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2021-10,"Modern Web Applications rely on architectures usually designed with modular software components whose be-haviour is shaped over fundamental principles and characteristics of the HTTP protocol. Dependency Injection frameworks support designers and developers in the automated management of components lifecycle, binding them to predefined scopes, thus delegating to an outer and independent participant the responsibility of creation, destruction and inter-dependencies definition of runtime instances. In this way, different scopes configurations implicitly act as different software micro-rejuvenation policies, emphasising the importance of choices in the assignment of component scopes; while supporting the stateful behaviour in data-retention mechanism, wider scopes may majorly expose inmemory components to software aging processes. We report a practical experience illustrating how the memory maintained in the business logic of a Web Application may give space to aging processes affecting the runtime behaviour of a stateful web application, and we show how this threat is contrasted by micro-rejuvenation at component level implemented by the container under different assignment strategies for components scopes. To this end, we propose an accelerated testing approach relying on a fault injection process that executes an event-driven simulation of arising soft errors over time. Experimentation on an exemplary web application implemented on the stack of Java Enterprise Edition show how manifestation, correction, and propagation of errors are conditioned by different scopes assigned to components by the software developer.",ISSREW,testing,服务器
10.1109/issrew53611.2021.00039,Aging and Rejuvenation Models of Load Changing Attacks in Micro-Grids,inproceedings,2021,Ricardo M. Czekster; Alberto Avritzer; Daniel Sadoc Menasche,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),17-24,,,IEEE,,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),2021-10,"Recent cyber-attacks in critical infrastructures have highlighted the importance of investigating how to improve Smart-Grids (SG) resiliency. In the future, it is envisioned that grid connected micro-grids would have the ability of operating in 'islanded mode’ in the event of a grid-level failure. In this work, we propose a method for unfolding aging and rejuvenation models into their sequential counterparts to enable the computation of transient state probabilities in the proposed models. We have applied our methodology to one specific security attack scenario and four large campus micro-grids case studies. We have shown how to convert the software aging and rejuvenation, with cycles, to its unfolded counterpart. We then used the unfolded counterpart to support the survivability computation. We were able to analytically evaluate the transient failure probability and the associated Instantaneous Expected Energy Not Supplied metric, for each of the four case studies, from one specific attack. We envision several practical applications of the proposed methodology. First, because the micro-grid model is solved analytically, the approach can be used to support micro-grid engineering optimizations accounting for security intrusions. Second, micro-grid engineers could use the approach to detect security attacks by monitoring for unexpected deviations of the Energy Not Supplied metric.",ISSREW,Model-based,智能电网
10.1109/qrs-c55045.2021.00059,A Cross-Project Aging-Related Bug Prediction Approach Based on Joint Probability Domain Adaptation and k-means SMOTE,inproceedings,2021,Dimeng Li; Mengting Liang; Bin Xu; Xiao Yu; Junwei Zhou; Jianwen Xiang,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)",350-358,,,IEEE,,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)",2021-12,"In long-running systems, the phenomenon of performance degradation and failure rate increase caused by Aging-Related Bugs (ARBs) is known as software aging. Because of the low presence and reproducing difficulty of ARBs, collecting enough training data to predict ARBs in a project is not easy. Thus, cross-project ARB prediction has been proposed. There are two main challenges in cross-project ARB prediction, namely distribution differences and severe class imbalance. As for the first challenge, existing cross-project ARB prediction approaches only focus on the transferability between domains while ignoring the discriminability between classes. As for the second challenge, existing approaches only consider the imbalance between the classes while ignoring the within-class imbalance problem. To solve these problems, a cross-project ARB prediction approach based on Joint Probability Domain Adaptation (JPDA) and k- means SMOTE (KS), called JPKS, is proposed. JPDA is used to consider the transferability and discriminability simultaneously, and KS solves the within-class and between-class imbalance problems. Experiments are conducted on two natural software systems to verify the performance of JPKS. The results show that JPKS can improve the performance of ARB prediction.",QRS-C,ARB prediction,Linux
10.1109/qrs54544.2021.00085,ACLM:Software Aging Prediction of Virtual Machine Monitor Based on Attention Mechanism of CNN-LSTM Model,inproceedings,2021,Xueyong Tan; Jing Liu,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)",759-767,,,IEEE,,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security (QRS)",2021-12,"Because Virtual Machine Monitor (VMM) runs continuously with high load for a long time, the accumulated errors in the system can easily lead to software aging problems such as performance degradation, so that it can not provide high-quality software services. However, software rejuvenation techniques can improve the performance of software systems by cleaning up the aging factor. Therefore, how to accurately predict the occurrence time of software aging in VMM system is a crucial and valuable problem. This paper proposes a novel software aging prediction model, called the ACLM model, which integrates the Attention mechanism, the Convolutional Neural Network (CNN) and the Long Short-term Memory (LSTM) model. It can extract the temporal and spatial features of the time series more quickly and effectively. The experimental results show that compared with other models, the ACLM model has improved by 0.97% to 9.33 % and 1.48 % to 5.49 % on the MAE and the RMSE, which demonstrates that the ACLM model has higher accuracy in predicting software aging of the VMM.",QRS,Measurement-based（ML）,VMM
10.1109/csit52700.2021.9648777,Aging of Native and Flutter Applications in Android OS in Various Usage Scenarios,inproceedings,2021,Vitaliy Yakovyna; Bohdan Uhrynovskyi,2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT),313-316,,1.0,IEEE,,2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT),2021-9-22,Android operating system and third-party applications are vulnerable to the effects of software aging. Software rejuvenation models and other approaches to counteract aging effects requires aging-related metrics to fit their needs. This paper considers aging manifestation in native Java/Kotlin and cross-platform Flutter applications. Study considers these sets of applications in two usage scenarios: with usage delays of mobile device and without delays. Study shows that Flutter applications are vulnerable to software aging. Experimental results shows that Frame Draw Time metric can fit needs of software rejuvenation models which are based on user behavior patterns. Frame Draw Time and PSS of main system processes can be considered as metrics for detecting and predicting software aging in future works.,CSIT,度量,Android
10.1109/dsa52907.2021.00071,ARB-BERT: An Automatic Aging-Related Bug Report Classification Method based on BERT,inproceedings,2021,Mingxi Li; Bei-Bei Yin,2021 8th International Conference on Dependable Systems and Their Applications (DSA),474-483,,,IEEE,,2021 8th International Conference on Dependable Systems and Their Applications (DSA),2021-8,"Software aging is a common phenomenon in most software systems. It refers to the increase of failure rates or the decline of performance in a long-running software system, mainly caused by Aging-Related Bugs (ARBs). Failure incurred by software aging may cause economic loss and may lead to casualties in security-critical systems. Automatic classification of ARB reports is an effective method to ensure the software system's quality by helping us detect and fix the bugs in software systems. There are two challenges in the automatic classification of ARB reports at present. Firstly, it is difficult to distinguish the ARB reports since the semantics of the text is ambiguous and hard to be recognized; secondly, the number of ARB reports is much smaller than other types of bugs, which may lead to class imbalance. Therefore, An ARB Report Automatic Classification Method based on BERT(ARB-BERT) is proposed in this paper to alleviate these problems. We combined back-translation, random under-sampling and random over-sampling to reduce the class imbalance problem in classification. By considering the ARB reports' characteristics, we utilize BERT as the semantic model, extracting feature vectors containing more accurate and sufficient information. The experimental results show that our method can improve the accuracy, precision, F-measure, and recall value compared with previous methods.",DSA,Classification,Linux
10.1109/icaccs51430.2021.9441809,Empirical Analysis of Artificial Immune System Algorithms for Aging Related Bug Prediction,inproceedings,2021,Megha Khanna; Mehak Aggarwal; Naman Singhal,2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS),692-697,,1.0,IEEE,,2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS),2021-3-19,"The complex nature of human immunology algorithms has motivated the research community to explore their practical applications in various other fields. As a result, Artificial Immune Systems (AISs) is one such class of algorithms that has found its way into software quality predictive modeling. In this paper, we evaluate AIS algorithms for developing Aging-Related Bug (ARB) prediction models. Software Aging, the gradual degradation and resource exhaustion in software systems, is said to be caused by ARBs, which may or may not be identified during software testing. Therefore, predicting ARBs before software release can help software managers in reducing their impact. This paper presents an empirical study that statistically analyzes the effectiveness of AIS classifiers for ARB prediction on five open-source software datasets. In order to account for the imbalanced nature of the investigated datasets, we used resampling and cost-sensitive classifiers. The results of the study indicate the effectiveness of AIS algorithms for developing ARB prediction models.",ICACCS,ARB prediction,Linux
10.23919/ccc52363.2021.9549437,Dynamic Analysis of the Software Rejuvenation System with Degradation Levels,inproceedings,2021,Huixia Huo; Zhuoqian Chen; Houbao Xu,2021 40th Chinese Control Conference (CCC),843-848,,,IEEE,,2021 40th Chinese Control Conference (CCC),2021-7-26,"A preemptive rollback policy called software rejuvenation, as an effective tool to improve the performance of the software system, has been widely discussed on the premise that all states of the system follow the exponential distribution. However, the research on the software rejuvenation system with nonexponential repair time is very limited. This paper aims to study the dynamic behavior and evaluation index of the software rejuvenation system with general repair time. Firstly, we establish a software rejuvenation system by assigning a performance capacity level in each of the possible states, and formulate the system with an abstract Cauchy problem. Then the well-posedness of the system is proved by using cofinal theory and analyzing the spectral distribution of the system operators, and the expression of the system overall performance capacity as an important evaluation index is also given. In addition, an approximate system is constructed and the dynamical solution of the software rejuvenation system is obtained as the limit of the approximate system dynamical solution. At last, numerical examples are presented to illustrate dynamic behavior of the system and the influence of the the evaluation index on the rejuvenation strategy.",CCC,model-based,非特定的
10.23919/cisti52073.2021.9476625,Software Aging in Container-based Virtualization:An Experimental Analysis on Docker Platform,inproceedings,2021,Felipe Oliveira; Jean Araujo; Rubens Matos; Paulo Maciel,2021 16th Iberian Conference on Information Systems and Technologies (CISTI),1-7,,,IEEE,,2021 16th Iberian Conference on Information Systems and Technologies (CISTI),2021-6-23,"Lightweight virtualization, and specifically containers, has become widespread in the information technology industry to provide an efficient operational environment for the execution of scalable services on the Internet. Containers rely on a set of technologies different from the features that enable hardware virtualization (i.e., hypervisor-based virtual machines). However, both types of virtualized environments are employed to host applications that will be accessible anytime, anywhere. Thus, they are prone to software aging, which usually affects systems that run for long time intervals. Researchers have identified software aging effects in distinct types of cloud computing environments and hypervisors over recent years. However, a few works have dealt with this phenomenon in container-based platforms. This paper presents an experimental analysis of the software aging effects observed on Docker platforms while also evaluating a time- series model's fitness to predict resource consumption's progress caused by software aging. We employ a stress test workload tailored for the scenario of containers arranged in a cluster managed by Docker Swarm. The obtained results indicate an increasing usage of resident memory, virtual memory, and CPU usage, as the system undergoes subsequent scale-up and scale-down operations. The quadratic trend model was the best fitting approach for predicting resident and virtual memory usage, with less than 5% of prediction error. The experimental approach presented here may help systems administrators detect evidence of software aging in container- based environments, allowing them to choose a proper method and time for deploying rejuvenation actions to mitigate the dependability issues raised in similar scenarios described here.",CISTI,Measurement-based（时间序列）,Docker
10.3906/elk-1905-177,Dynamic software rejuvenation in web services: a whale optimizationalgorithm-based approach,journal,2020,Kimia REZAEI KALANTARI; Ali EBRAHIMNEJAD; Homayun MOTAMENI,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES,890-903,2,28,The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS,,,2020-3-28,,TJEE,hybrid,web服务器
10.3906/elk-2001-33,A fuzzy neural network for web service selection aimed at dynamic software rejuvenation,journal,2020,Kimia REZAEI KALANTARI; Ali EBRAHIMNEJAD; Homayun MOTAMENI,TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES,2718-2734,5,28,The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS,,,2020-9-25,,TJEE,measurement-based,web服务器
10.1007/s11219-019-09481-2,Invalid bug reports complicate the software aging situation,journal,2020,Xiaoxue Wu; Wei Zheng; Minchao Pu; Jie Chen; Dejun Mu,Software Quality Journal,195-220,1,28,Springer Science and Business Media LLC,,,2020-1-13,,SQJ,Classification,云计算系统
10.1007/s11219-019-09474-1,Availability and reliability modeling of VM migration as rejuvenation on a system under varying workload,journal,2020,Matheus Torquato; Paulo Maciel; Marco Vieira,Software Quality Journal,59-83,1,28,Springer Science and Business Media LLC,,,2020-3,,SQJ,model-based; rej,虚拟化系统; 集群
10.1016/j.ress.2019.106776,Optimizing software rejuvenation policy for tasks with periodic inspections and time limitation,journal,2020,Gregory Levitin; Liudong Xing; Yanping Xiang,Reliability Engineering &amp; System Safety,106776,,197,Elsevier BV,,,2020-5,"Software aging has been observed in diverse types of software systems, causing gradual performance degradation with time and/or load and eventually system failures. To mitigate the aging effects and prevent serious losses caused by the system failure, software rejuvenations can be proactively performed to restore the system performance. This paper models and optimizes a state-based rejuvenation policy for software systems performing real-time computing tasks and undergoing periodic inspections. During each scheduled inspection, the system state is evaluated and the decision about the rejuvenation is made based on the evaluated system state and a rejuvenation decision function. The time of each rejuvenation procedure (corresponding to the system downtime) depends on the system state as well as on the amount of task operations accomplished before deciding to perform the rejuvenation. As the rejuvenation policy determines the time and number of rejuvenations performed during the task processing, it can affect the probability that the system can accomplish the real-time task by a certain deadline significantly. In this work, we optimize the state-based rejuvenation policy to maximize the probability of task completion (PTC) of periodically inspected software systems. The methodology encompasses an event transition-based iterative method proposed for quantifying the PTC and application of the Genetic Algorithm for deriving the optimal rejuvenation policy. Examples are presented to demonstrate the proposed methodology and influences of several parameters (e.g., inspection interval, rejuvenation time) on the optimization results.",RESS,model-based,非特定的
10.1016/j.ress.2019.106593,Cost minimization of real-time mission for software systems with rejuvenation,journal,2020,Gregory Levitin; Liudong Xing; Yanping Xiang,Reliability Engineering &amp; System Safety,106593,,193,Elsevier BV,,,2020-1,"This paper considers the optimal rejuvenation policy problem for software systems performing real-time tasks. Due to software aging, the system performance deteriorates with time eventually leading to the system crash, which can be catastrophic for critical applications. To prevent the system crash or minimize its occurrence probability, software rejuvenation has been widely adopted for counteracting the software aging effect but at the cost of extra system overhead and downtime. We derive the optimal state-based rejuvenation policy minimizing the total expected mission cost for software aging systems subject to multiple performance degradation states. The solution encompasses an event transition-based numerical method that assesses the total expected mission cost of a real-time task, covering penalty cost from the mission failure, operation cost of running the mission software and the expected rejuvenation cost. The proposed cost evaluation model can accommodate arbitrary types of state transition time distributions. The suggested model also allows simultaneous evaluations of other system performance metrics including the probability of the successful task completion (i.e., mission reliability) and conditional expected mission completion time given a successful mission task. Examples are presented to demonstrate the proposed methodology and optimizations. Effects of different parameters on the rejuvenation optimization solution are also investigated.",RESS,model-based,非特定的
10.21629/jsee.2020.01.21,A workload-based nonlinear approach for predicting available computing resources,journal,2020,"Tianjin Key Laboratory for Advanced Signal Processing, Civil Aviation University of China, Tianjin 300300, China; Yunfei JIA",Journal of Systems Engineering and Electronics,224-230,1,31,Institute of Electrical and Electronics Engineers (IEEE),,,2020-1-31,"Performance degradation or system resource exhaustion can be attributed to inadequate computing resources as a result of software aging. In the real world, the workload of a web server varies with time, which will cause a nonlinear aging phenomenon. The nonlinear property often makes analysis and modelling difficult. Workload is one of the important factors influencing the speed of aging. This paper quantitatively analyzes the workload-aging relation and proposes a framework for aging control under varying workloads. In addition, this paper proposes an approach that employs prior information of workloads to accurately forecast incoming system exhaustion. The workload data are used as a threshold to divide the system resource usage data into multiple sections, while in each section the workload data can be treated as a constant. Each section is described by an individual autoregression (AR) model. Compared with other AR models, the proposed approach can forecast the aging process with a higher accuracy.",JSEE,measurement-based,web服务器
10.4018/jitr.2020010103,Software Aging Forecast Using Recurrent SOM with Local Model,journal,2020,Yongquan Yan,Journal of Information Technology Research,30-43,1,13,IGI Global,,,2020-1,,JITR,Measurement-based（ML）,web服务器
10.1049/iet-sen.2019.0254,Software ageing prediction using neural network with ridge,journal,2020,Yongquan Yan,IET Software,517-524,5,14,Institution of Engineering and Technology (IET),,,2020-10,,IET,PRE,Linux、MySQL、AXIS、HTTPD
10.1049/iet-sen.2019.0018,Efficient improved ant colony optimisation algorithm for dynamic software rejuvenation in web services,journal,2020,Kimia Rezaei Kalantari; Ali Ebrahimnejad; Homayun Motameni,IET Software,369-376,4,14,Institution of Engineering and Technology (IET),,,2020-8,,IET,hybrid,web服务器
10.1109/access.2020.3011813,Planning Optimal Rejuvenation Policy for Aging Software Systems via a Two-Layer Model,journal,2020,Jingwei Li; Yong Qi; Guanghua Wang; Jinwei Lin,IEEE Access,136725-136735,,8,Institute of Electrical and Electronics Engineers (IEEE),,,2020,"Software rejuvenation is a proactive fault management technique widely used for preventing performance degradation and failures due to software aging. It works by proactively terminating the system, cleaning the internal state of the system, and restarting the system. Since rejuvenation incurs extra system overhead and downtime cost, it is important to determine the optimal time to trigger rejuvenation. This paper proposes a two-layer model to characterize the system failure behavior and rejuvenation process under aging condition, planning a time-based rejuvenation policy maximizing the system availability and minimizing downtime cost. The lower layer is a failure model that uses an analytical model and runtime measurements to build the failure distribution of the aging system. The upper layer is a rejuvenation model that takes the failure distribution from the lower layer as input to formulate the availability function and downtime cost function. Taking these two functions as optimization targets, we can obtain the optimal rejuvenation time. Compared with the traditional analytical model, the two-layer model modeling software failure considers runtime measurements, which can describe the aging behavior more accurately. In the experimental part, we comprehensively evaluate the two-layer model by studying the aging of the web search system. The results show that the two-layer model reduces unavailability by 18.18% and reduces downtime cost by 31.22% in comparison with the traditional analytical model.",IEEE Access,Hybrid,网络搜索系统
10.1109/access.2019.2963397,Analyzing Software Rejuvenation Techniques in a Virtualized System: Service Provider and User Views,journal,2020,Jing Bai; Xiaolin Chang; Fumio Machida; Kishor S. Trivedi; Zhen Han,IEEE Access,6448-6459,,8,Institute of Electrical and Electronics Engineers (IEEE),,,2020,"Virtualization technology has promoted the fast development and deployment of cloud computing, and is now becoming an enabler of Internet of Everything. Virtual machine monitor (VMM), playing a critical role in a virtualized system, is software and hence it suffers from software aging after a long continuous running as well as software crashes due to elusive faults. Software rejuvenation techniques can be adopted to reduce the impact of software aging. Although there existed analytical model-based approaches for evaluating software rejuvenation techniques, none analyzed both application service (AS) availability and job completion time in a virtualized system with live virtual machine (VM) migration. This paper aims to quantitatively analyze software rejuvenation techniques from service provider and user views in a virtualized system deploying VMM reboot and live VM migration techniques for rejuvenation, under the condition that all the aging time, failure time, VMM fixing time and live VM migration time follow general distributions. We construct an analytical model by using a semi-Markov process (SMP) and derive formulas for calculating AS availability and job completion time. By analytical experiments, we can obtain the optimal migration trigger intervals for achieving the approximate maximum AS availability and the approximate minimum job completion time, and then service providers can make decisions for maximizing the benefits of service providers and users by adjusting parameter values.",IEEE Access,Model-based,VMM
10.3390/e22111225,A Dynamic Anomaly Detection Approach Based on Permutation Entropy for Predicting Aging-Related Failures,journal,2020,Shuguang Wang; Minyan Lu; Shiyi Kong; Jun Ai,Entropy,1225,11,22,MDPI AG,,,2020-10-27,,Entropy,度量; Measurement-based（ML）,分布式数据库
10.1007/s10664-020-09838-3,A comprehensive study on software aging across android versions and vendors,journal,2020,Domenico Cotroneo; Antonio Ken Iannillo; Roberto Natella; Roberto Pietrantuono,Empirical Software Engineering,3357-3395,5,25,Springer Science and Business Media LLC,,,2020-7-15,,ESE,现象分析; 度量; rej,Android
10.1080/03610926.2019.1708400,A phase expansion for non-Markovian availability models with time-based aperiodic rejuvenation and checkpointing,journal,2020,Junjun Zheng; Hiroyuki Okamura; Tadashi Dohi,Communications in Statistics - Theory and Methods,3712-3729,15,49,Informa UK Limited,,,2020-1-13,,CST,model-based; other mitigation,非特定的
10.1109/wccct49810.2020.9170005,Microservice Aging and Rejuvenation,inproceedings,2020,Jing Yue; Xiaojun Wu; Yunqing Xue,2020 World Conference on Computing and Communication Technologies (WCCCT),1-5,,,IEEE,,2020 World Conference on Computing and Communication Technologies (WCCCT),2020-5,"Due to ‘aging’, not only the service rate of the software decreases with time but the software itself experiences occasional crash/hang failures. Software rejuvenation involves occasional stopping the executing software, ‘cleaning’ the ‘internal state’ and restarting. Moreover, container technology promotes the process of fair and efficient allocation of physical resources among virtual machines. However, the emergence of distributed cloud platform undoubtedly increase the flexibility and complexity of the system. In this paper, we propose a method of predicting microservice [1] aging by deep learning, and a rejuvenation policy by the CVA architecture. From the perspective of container, it can provide a technology of vertical expansion and contraction of container resources, improve the utilization of resources in the clustered environment, and improve the availability of microservice system.",WCCCT,Measurement-based（ML）; rej,分布式云平台
10.1109/ispa-bdcloud-socialcom-sustaincom51426.2020.00029,A Task Execution Framework Based on Aging Indicator and SARIMI,inproceedings,2020,Minghao Tang; Peng Zhang; Haoqi Sun; Lei Zhang,"2020 IEEE Intl Conf on Parallel &amp; Distributed Processing with Applications, Big Data &amp; Cloud Computing, Sustainable Computing &amp; Communications, Social Computing &amp; Networking (ISPA/BDCloud/SocialCom/SustainCom)",18-25,,,IEEE,,"2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",2020-12,"The long-term running characteristics of spatiotemporal related tasks increase the risk of software aging of the basic supporting software of cloud platform, such as operating system, virtual machine and virtual machine monitor, and reduce the stability of platform services. In addition, software aging, as a process that accumulates over time, does not immediately cause system function failure. Moreover, the existing time series analysis methods do not give enough consideration to the seasonality of load characteristics, which makes it difficult to accurately determine the degree of software aging and the time of software rejuvenation. Therefore, this paper proposes a task execution method integrated with software rejuvenation means. Through the detection and evaluation of software aging, when the virtual machine aging reaches a certain extent, the rejuvenation module will be started to restore the service capacity of the virtual machine in time, so as to improve the task execution efficiency. And through the use of aging indicator and the software aging evaluation method based on Multiplicative Seasonal Autoregressive Integrated Moving Average (SARIMA), the current software aging situation and the periodicity of the system load are considered. At the same time, the dynamic trend of software aging is evaluated, and the software is rejuvenated near the optimal rejuvenation time point, which improves the applicability of resource aging evaluation and task execution efficiency in the cloud platform. Experimental results show that our method is effective in the aging of cloud platform software.",ISPA; BDCloud; SocialCom; SustainCom,Measurement-based（时间序列）,云平台
