key,item type,year,author,title,booktitle,isbn,issn,doi,url,abstract note,date,date added,date modified,access date,pages,num pages,issue,volume,number of volumes,journal abbreviation,short title,series,series number,series text,series title,publisher,place,language,rights,type,archive,archive location,library catalog,call number,extra,notes,file attachments,link attachments,manual tags,automatic tags,editor,series editor,translator,contributor,attorney agent,book author,cast member,commenter,composer,cosponsor,counsel,interviewer,producer,recipient,reviewed author,scriptwriter,words by,guest,number,edition,running time,scale,medium,artwork size,filing date,application number,assignee,issuing authority,country,meeting name,conference name,court,references,reporter,legal status,priority numbers,programming language,version,system,code,code number,section,session,committee,history,legislative body
6BPEW2SI,conferencePaper,2016,"Okamura, Hiroyuki; Dohi, Tadashi",A Phase Expansion Approach for Transient Analysis of Software Rejuvenation Model,2016 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,10.1109/ISSREW.2016.53,https://ieeexplore.ieee.org/document/7789387/?arnumber=7789387,"This paper deals with the transient analysis of software rejuvenation model. Concretely, we apply the phase expansion to the basic software rejuvenation model by Garg et al. (1995). The phase expansion is the approximation technique which utilizes the phase-type approximation. After applying the phase expansion, we formulate the interval reliability. In a numerical example, we investigate the accuracy of the approximation for the interval reliability.",2016-10,2024-09-02 12:25:10,2024-09-02 13:50:53,2024-09-02 12:25:10,98-103,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\tristone\Zotero\storage\LB7S7Q3Q\7789387.html; C:\Users\tristone\Zotero\storage\CDGX85JA\Okamura和Dohi - 2016 - A Phase Expansion Approach for Transient Analysis of Software Rejuvenation Model.pdf,,分析方式：Model-based; 验证方法：数值分析; 老化影响：故障率增加; 系统类型：非特定的; 会议：ISSREW; 模型：CTMC; 指标：点可用性，区间可靠性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,,,,,,,,,,,,,
DNIIIGAB,conferencePaper,2016,"Cotroneo, Domenico; Fucci, Francesco; Iannillo, Antonio Ken; Natella, Roberto; Pietrantuono, Roberto",Software Aging Analysis of the Android Mobile OS,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),,,10.1109/ISSRE.2016.25,,"Mobile devices are significantly complex, feature-rich, and heavily customized, thus they are prone to software reliability and performance issues. This paper considers the problem of software aging in Android mobile OS, which causes the device to gradually degrade in responsiveness, and to eventually fail. We present a methodology to identify factors (such as workloads and device configurations) and resource utilization metrics that are correlated with software aging. Moreover, we performed an empirical analysis of recent Android devices, finding that software aging actually affects them. The analysis pointed out processes and components of the Android OS affected by software aging, and metrics useful as indicators of software aging to schedule software rejuvenation actions.",2016-10,2022-01-22 06:49:05,2024-08-15 09:26:42,,478-489,,,,,,,,,,,,,en-US,,,,,,,ISSN: 2332-6549 CCF: B,"<div data-schema-version=""8""><p>不足：全部与LT为基准，如何排除瞬时影响和其他系统问题导致的影响？</p> </div>; <div data-citation-items=""%5B%7B%22uris%22%3A%5B%22http%3A%2F%2Fzotero.org%2Fgroups%2F4571939%2Fitems%2FDNIIIGAB%22%5D%2C%22itemData%22%3A%7B%22id%22%3A%22http%3A%2F%2Fzotero.org%2Fgroups%2F4571939%2Fitems%2FDNIIIGAB%22%2C%22type%22%3A%22paper-conference%22%2C%22abstract%22%3A%22Mobile%20devices%20are%20significantly%20complex%2C%20feature-rich%2C%20and%20heavily%20customized%2C%20thus%20they%20are%20prone%20to%20software%20reliability%20and%20performance%20issues.%20This%20paper%20considers%20the%20problem%20of%20software%20aging%20in%20Android%20mobile%20OS%2C%20which%20causes%20the%20device%20to%20gradually%20degrade%20in%20responsiveness%2C%20and%20to%20eventually%20fail.%20We%20present%20a%20methodology%20to%20identify%20factors%20(such%20as%20workloads%20and%20device%20configurations)%20and%20resource%20utilization%20metrics%20that%20are%20correlated%20with%20software%20aging.%20Moreover%2C%20we%20performed%20an%20empirical%20analysis%20of%20recent%20Android%20devices%2C%20finding%20that%20software%20aging%20actually%20affects%20them.%20The%20analysis%20pointed%20out%20processes%20and%20components%20of%20the%20Android%20OS%20affected%20by%20software%20aging%2C%20and%20metrics%20useful%20as%20indicators%20of%20software%20aging%20to%20schedule%20software%20rejuvenation%20actions.%22%2C%22container-title%22%3A%222016%20IEEE%2027th%20International%20Symposium%20on%20Software%20Reliability%20Engineering%20(ISSRE)%22%2C%22DOI%22%3A%2210.1109%2FISSRE.2016.25%22%2C%22event-title%22%3A%222016%20IEEE%2027th%20International%20Symposium%20on%20Software%20Reliability%20Engineering%20(ISSRE)%22%2C%22language%22%3A%22en-US%22%2C%22note%22%3A%22ISSN%3A%202332-6549%22%2C%22page%22%3A%22478-489%22%2C%22title%22%3A%22Software%20Aging%20Analysis%20of%20the%20Android%20Mobile%20OS%22%2C%22author%22%3A%5B%7B%22family%22%3A%22Cotroneo%22%2C%22given%22%3A%22Domenico%22%7D%2C%7B%22family%22%3A%22Fucci%22%2C%22given%22%3A%22Francesco%22%7D%2C%7B%22family%22%3A%22Iannillo%22%2C%22given%22%3A%22Antonio%20Ken%22%7D%2C%7B%22family%22%3A%22Natella%22%2C%22given%22%3A%22Roberto%22%7D%2C%7B%22family%22%3A%22Pietrantuono%22%2C%22given%22%3A%22Roberto%22%7D%5D%2C%22issued%22%3A%7B%22date-parts%22%3A%5B%5B%222016%22%2C10%5D%5D%7D%7D%7D%5D"" data-schema-version=""8""><p>概述：<code>提出识别软件老化相关因素与指标的方法并通过实证分析指出受软件老化影响的流程和组件及可用作软件老化预测的指标</code></p> </div>; <div data-schema-version=""8""><p>优点：把对指标的分析细化到了任务级（进程），并找到了最受影响的几大进程</p> </div>",C:\Users\tristone\Zotero\storage\9SSRY79H\Cotroneo 等 - 2016 - Software Aging Analysis of the Android Mobile OS.pdf; C:\Users\tristone\Zotero\storage\P6PF5E63\7774545.html,,会议：ISSRE; 系统类型：Android; 验证方法：实验实证; 分析方式：现象分析&度量; 指标：LT，内存，存储，GC，Task-level; 老化影响：崩溃/挂起故障&性能降级&内存消耗&垃圾收集&存储; 模型：DOE，MK，Sen's; 实验时长：20H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 IEEE 27th International Symposium on Software Reliability Engineering (ISSRE),,,,,,,,,,,,,,,
MNS6Q3PW,conferencePaper,2016,"Nagaraju, Vidhyashree; Basavaraj, Veeresh Varad; Fiondella, Lance",Software rejuvenation of a fault-tolerant server subject to correlated failure,2016 Annual Reliability and Maintainability Symposium (RAMS),,,10.1109/RAMS.2016.7448076,,"Society depends increasingly on software based services, necessitating that applications achieve a high level of reliability and availability to maintain customer satisfaction and preserve system safety. These service-oriented applications often operate continuously, which exposes the software to ""aging"" where resource deterioration such as memory leaks can lead resource exhaustion and ultimately system failure. To mitigate the impact of aging, software rejuvenation refreshes or restarts the system periodically to recover lost resources, thereby averting failures. Software rejuvenation may also employ fault tolerance to reduce the impact of individual failures on system availability. However, virtually all previous software rejuvenation studies assume that failures experienced by the individual servers comprising a fault tolerant system are statistically independent. This paper analyzes the impact of correlated failures on the optimality of rejuvenation schedules for a system composed of two parallel servers that can experience correlated failures. The examples illustrate the impact of correlation on the optimality of rejuvenation schedules to maximize availability and minimize down time cost. The results indicate that increasing the correlation between the failures of the servers increases the rejuvenation period when the objective is to maximize availability. However, the rejuvenation period decreases when the objective is to minimize down time cost. Thus, the proposed approach can objectively identify the optimal rejuvenation period that maximizes availability or minimizes down time cost.",2016-01,2023-02-22 04:48:50,2024-08-14 08:00:39,,1-6,,,,,,,,,,,,,,,,,,IEEE Xplore,,,"<div data-schema-version=""8""><p>概述：分析了相关故障对由两个并行服务器组成的系统的恢复调度的最优性的影响。</p> </div>",C:\Users\tristone\Zotero\storage\RGGLTZNL\7448076.html; C:\Users\tristone\Zotero\storage\RLLZHXGJ\Nagaraju 等 - 2016 - Software rejuvenation of a fault-tolerant server subject to correlated failure.pdf,,分析方式：Model-based; 老化影响：非特定的; 验证方法：数值分析; 重生层级：非特定的; 系统类型：服务器; 模型：SMP; 会议：RAMS; 指标：availability，downtime cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Annual Reliability and Maintainability Symposium (RAMS),,,,,,,,,,,,,,,
PQNX29I8,journalArticle,2015,"Meng, Haining; Liu, Jianjun; Hei, Xinhong",Modeling and optimizing periodically inspected software rejuvenation policy based on geometric sequences,Reliability Engineering & System Safety,,09518320,10.1016/j.ress.2014.09.007,https://linkinghub.elsevier.com/retrieve/pii/S0951832014002178,"Semantic Scholar extracted view of ""Modeling and optimizing periodically inspected software rejuvenation policy based on geometric sequences"" by Haining Meng et al.",2015-01,2023-01-04 03:14:16,2024-10-12 03:23:36,2023-01-04 03:14:16,184-191,,,133.0,,Reliab. Eng. Syst. Saf.,,,,,,,,en,,,,,7.247,1.0,"JCR分区: Q1 中科院分区升级版: 工程技术1区 影响因子: 9.4 5年影响因子: 8.1 EI: 是 TLDR: A periodically inspected rejuvenation policy for software systems is studied, and the optimal inspection time and rejuvenation interval are derived to maximize system availability and minimize cost rate.","<div data-schema-version=""8""><p>概述：提出一种基于几何序列来确定对系统的检测间隔的软件系统周期性检测软件重生策略</p> </div>; <div data-schema-version=""8""><p>优点：可以极大降低平均停机成本，并减少检测成本</p> </div>",C:\Users\tristone\Zotero\storage\QRC9H3QJ\Meng 等 - 2015 - Modeling and optimizing periodically inspected software rejuvenation policy based on geometric seque.pdf; ,https://www.semanticscholar.org/paper/Modeling-and-optimizing-periodically-inspected-on-Meng-Liu/c887d15f4ffd2e46bb34aff497e7a4941c1bba82,验证方法：数值分析; 重生层级：非特定的; 系统类型：非特定的; 老化影响：性能降级; 指标：availability; 期刊：RESS; 分析方式：Measurement-based（检查时间间隔）; 模型：几何序列,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VS46DYJN,conferencePaper,2015,"Kourai, Kenichi; Ooba, Hiroki",Zero-copy Migration for Lightweight Software Rejuvenation of Virtualized Systems,Proceedings of the 6th Asia-Pacific Workshop on Systems,978-1-4503-3554-6,,10.1145/2797022.2797026,https://doi.org/10.1145/2797022.2797026,"Virtualized systems tend to suffer from software aging, which is the phenomenon that the state of a running system degrades with time. Software aging is restored by a technique called software rejuvenation, e.g., a system reboot. To reduce the downtime due to software rejuvenation, all the virtual machines (VMs) on an aged virtualized system have to be migrated in advance. However, VM migration stresses the system and causes performance degradation. In this paper, we propose VMBeam, which enables lightweight software rejuvenation of virtualized systems using zero-copy migration. When rejuvenating an aged virtualized system, VMBeam starts a new virtualized system at the same host by using nested virtualization. Then it migrates all the VMs from the aged virtualized system to the clean one. At this time, VMBeam directly relocates the memory of the VMs on the aged virtualized system to the clean virtualized system without any copy. We have implemented VMBeam in Xen and confirmed the decreases of system loads.",2015-07-27,2023-01-09 15:16:31,2024-10-05 08:34:33,2023-01-09,1–8,,,,,,,APSys '15,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,ACM Digital Library,,,"<div data-schema-version=""8""><p>概述：通过零拷贝迁移减低重生时VM迁移的压力</p> </div>",C:\Users\tristone\Zotero\storage\XF2IAKXE\Kourai和Ooba - 2015 - Zero-copy Migration for Lightweight Software Rejuvenation of Virtualized Systems.pdf,,老化影响：崩溃/挂起故障&性能降级; 分析方式：rej; 验证方法：实验实证; 重生层级：VM; 会议：APSYS; 系统类型：虚拟化系统; 指标：重生代价; 重生方法：zero-copy migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X72HADLC,journalArticle,2015,"Yakhchi, Moona; Alonso, Javier; Fazeli, Mahdi; Bitaraf, Amir Akhavan; Patooqhy, Ahmad",Neural network based approach for time to crash prediction to cope with software aging,Journal of Systems Engineering and Electronics,,1004-4132,10.1109/JSEE.2015.00047,http://ieeexplore.ieee.org/document/7111178/,"Recent studies have shown that software is one of the main reasons for computer systems unavailability. A growing accumulation of software errors with time causes a phenomenon called software aging. This phenomenon can result in system performance degradation and eventually system hang/crash. To cope with software aging, software rejuvenation has been proposed. Software rejuvenation is a proactive technique which leads to removing the accumulated software errors by stopping the system, cleaning up its internal state, and resuming its normal operation. One of the main challenges of software rejuvenation is accurately predicting the time to crash due to aging factors such as memory leaks. In this paper, different machine learning techniques are compared to accurately predict the software time to crash under different aging scenarios. Finally, by comparing the accuracy of different techniques, it can be concluded that the multilayer perceptron neural network has the highest prediction accuracy among all techniques studied.",2015-04,2023-02-23 07:04:54,2024-10-12 06:24:17,2023-02-23 07:04:54,407-414,,2.0,26.0,,J. Syst. Eng. Electron.,,,,,,,,,,,,,1.363,3.0,JCR分区: Q3 中科院分区升级版: 计算机科学3区 影响因子: 1.9 5年影响因子: 1.9 EI: 是 TLDR: Different machine learning techniques are compared to accurately predict the software time to crash under different aging scenarios and it can be concluded that the multilayer perceptron neural network has the highest prediction accuracy among all techniques studied.,[TLDR] Different machine learning techniques are compared to accurately predict the software time to crash under different aging scenarios and it can be concluded that the multilayer perceptron neural network has the highest prediction accuracy among all techniques studied.,; C:\Users\tristone\Zotero\storage\5MH3K6U6\Yakhchi 等 - 2015 - Neural network based approach for time to crash prediction to cope with software aging.pdf,https://www.semanticscholar.org/paper/Neural-network-based-approach-for-time-to-crash-to-Yakhchi-Alonso/e15fefe650573ca23060e40713df93cff1d0a381,分析方式：Measurement-based（ML）; 老化影响：内存泄漏; 模型：LR、MLP、M5P、SMO、GP、LMS、RT; 期刊：J SYST ENG ELECTRON; 系统类型：windows; 验证方法：实验实证&比较分析; 指标：处理器利用率、进程数和内存使用量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JB4YRB8Q,journalArticle,2015,"Rahme, Jean; Xu, Haiping",A Software Reliability Model for Cloud-Based Software Rejuvenation Using Dynamic Fault Trees,Int. J. Softw. Eng. Knowl. Eng.,,,10.1142/S021819401540029X,,"The dynamic fault tree (DFT) formalism is adopted and it is shown how cost-effective software rejuvenation schedules can be created to keep the system reliability consistently staying above a predefined critical level. Correctly measuring the reliability and availability of a cloud-based system is critical for evaluating its system performance. Due to the promised high reliability of physical facilities provided for cloud services, software faults have become one of the major factors for the failures of cloud-based systems. In this paper, we focus on the software aging phenomenon where system performance may be progressively degraded due to exhaustion of system resources, fragmentation and accumulation of errors. We use a proactive technique, called software rejuvenation, to counteract the software aging problem. The dynamic fault tree (DFT) formalism is adopted to model the system reliability before and during a software rejuvenation process in an aging cloud-based system. A novel analytical approach is presented to derive the reliability function of a cloud-based Hot SPare (HSP) gate, which is further verified using Continuous Time Markov Chains (CTMC) for its correctness. We use a case study of a cloud-based system to illustrate the validity of our approach. Based on the reliability analytical results, we show how cost-effective software rejuvenation schedules can be created to keep the system reliability consistently staying above a predefined critical level.",2015,2022-03-22 06:43:01,2024-10-12 06:23:04,,,,,,,Int. J. Softw. Eng. Knowl. Eng.,,,,,,,,en-US,,,,,,,TLDR: The dynamic fault tree (DFT) formalism is adopted and it is shown how cost-effective software rejuvenation schedules can be created to keep the system reliability consistently staying above a predefined critical level.,"<div data-schema-version=""8""><p>不足：建模过程组建的故障率设置成了恒定，与真实世界差距较大</p> </div>; <div data-schema-version=""8""><p>概述：提出一种基于动态故障树的方法来为基于云的系统建立软件重生</p> </div>; <div data-schema-version=""8""><p>优点：考虑了重生的成本效益</p> </div>",C:\Users\tristone\Zotero\storage\ILFEV4YT\Rahme和Xu - 2015 - A Software Reliability Model for Cloud-Based Software Rejuvenation Using Dynamic Fault Trees.pdf; ,https://www.semanticscholar.org/paper/A-Software-Reliability-Model-for-Cloud-Based-Using-Rahme-Xu/d8ac0ef04e832e7f0eb71a3c59953608db0aedf7,分析方式：Model-based; 老化影响：故障率增加; 模型：DFT; 期刊：SEKE; 系统类型：云计算系统; 验证方法：仿真模拟&数值分析; 指标：故障率; 重生层级：非特定的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4FFNTHYP,conferencePaper,2015,"Cotroneo, Domenico; Iannillo, Antonio Ken; Natella, Roberto; Pietrantuono, Roberto; Russo, Stefano",The software aging and rejuvenation repository: Http://openscience.us/repo/software-aging/,2015 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,10.1109/ISSREW.2015.7392054,https://ieeexplore.ieee.org/document/7392054,"While Software Aging and Rejuvenation (SAR) research has been steadily increasing, the artifacts related to SAR studies (such as software aging measurements and bug datasets) are seldom made available to researchers and practitioners, thus limiting potential improvements of rejuvenation solutions and their practical adoption. We discuss in this paper the role of artifacts in SAR research, and present SARRY (the Software Aging and Rejuvenation RepositorY), an open-access support for the SAR community to share research artifacts (available at http://openscience.us/repo/software-aging/). We invite researchers to contribute to SARRY, in order to aid future SAR research and to improve the visibility and impact of their work.",2015-11,2024-09-02 12:02:19,2024-09-02 13:44:43,2024-09-02 12:02:19,108-113,,,,,,The software aging and rejuvenation repository,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\tristone\Zotero\storage\CHCYXU9W\Cotroneo 等 - 2015 - The software aging and rejuvenation repository Httpopenscience.usreposoftware-aging.pdf; C:\Users\tristone\Zotero\storage\8UVU2SPU\7392054.html,,会议：ISSREW; 分析方式：其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,,,,,,,,,,,,,
YISMIB9V,conferencePaper,2015,"Wu, Huaming; Wolter, Katinka",Software aging in mobile devices: Partial computation offloading as a solution,2015 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,10.1109/ISSREW.2015.7392057,,"Long running applications on resource-constrained mobile devices can lead to software aging, which is a critical impediment to the mobile users due to its pervasive nature. Mobile offloading that migrates computation-intensive parts of applications from mobile devices onto resource-rich cloud servers, is an effective way for enhancing the availability of mobile services as it can postpone or prevent the software aging in mobile devices. Through partitioning the execution between the device side and the cloud side, the mobile device can have the most benefit from offloading in reducing utilisation of the device and increasing its lifetime. In this paper, we propose a path-based offloading partitioning (POP) algorithm to determine which portions of the application tasks to run on mobile devices and which portions on cloud servers with different cost models in mobile environments. The evaluation results show that the partial offloading scheme can significantly improve performance and reduce energy consumption by optimally distributing tasks between mobile devices and cloud servers, and can well adapt to changes in the environment.",2015,2022-03-22 06:36:34,2024-09-22 08:31:24,,125-131,,,,,,Software aging in mobile devices,,,,,,,en-US,,,,,,,CCF: B,"<div data-schema-version=""8""><p>备注：未使用重生策略，但可以有效缓解老化</p> </div>; <div data-schema-version=""8""><p>概述：将移动应用的应用程序的计算密集部分卸载到云服务器上可以有效缓解移动应用的软件老化，文章主要研究一种基于路径的卸载分区算法</p> </div>",C:\Users\tristone\Zotero\storage\2V3TJ8UX\7392057.html; C:\Users\tristone\Zotero\storage\4LI32I96\Wu和Wolter - 2015 - Software aging in mobile devices Partial computation offloading as a solution.pdf,,老化影响：性能降级; 指标：响应时间; 会议：ISSREW; 验证方法：逻辑推理; 分析方式：other; 系统类型：移动应用&云服务器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,,,,,,,,,,,,,
5MMJ3F8G,conferencePaper,2015,"Machida, Fumio; Miyoshi, Naoto",An optimal stopping problem for software rejuvenation in a job processing system,2015 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,10.1109/ISSREW.2015.7392059,https://ieeexplore.ieee.org/document/7392059/keywords#keywords,"In this paper, we derive the optimal policy for deciding software rejuvenation trigger in a job processing system when observing a performance degradation of the system. At the detection of service degradation, we assume that the system enters a digesting phase where newly arrival jobs are rejected and queued jobs are processed with decreased service rate. The service can be modeled as a pure death process, and both of the delayed jobs due to decreased service rate, the dropped jobs caused by rejuvenation, and the rejected arrival jobs are counted as the cost components. We formulate the decision problem of software rejuvenation, which trade-offs the costs associated with the decisions, as an optimal stopping problem. Our analysis on the optimality equation clarifies the conditions to switch the optimal policy for triggering software rejuvenation to minimize the expected cost.",2015-11,2024-09-02 12:17:19,2024-09-02 13:46:54,2024-09-02 12:17:19,139-143,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,C:\Users\tristone\Zotero\storage\E845ILA6\keywords.html; C:\Users\tristone\Zotero\storage\CZV3J8YR\Machida和Miyoshi - 2015 - An optimal stopping problem for software rejuvenation in a job processing system.pdf,,分析方式：Model-based; 验证方法：数值分析; 老化影响：性能降级; 会议：ISSREW; 模型：M/M/1队列模型; 指标：系统状态转换相关成本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),,,,,,,,,,,,,,,
ZLLNEMDI,conferencePaper,2015,"Mohan, Biju R; Reddy, G Ram Mohana",The effect of software aging on power usage,2015 IEEE 9th International Conference on Intelligent Systems and Control (ISCO),,,10.1109/ISCO.2015.7282360,https://ieeexplore.ieee.org/document/7282360,"This paper tries to establish relation between the power usage and software aging. Software aging is the performance degradation of long running software due to shrinking in physical memory, increase in swap read and write rate and increase in CPU utilization. This paper tries to establish the relation between the Software aging and the power usage. Experimental results demonstrate that CPU utilization increases over a period of time, when the work load remains the constant. Linear Regression analysis is used for establishing this trend.",2015-01,2024-07-26 11:59:53,2024-10-12 03:23:54,2024-07-26 11:59:53,1-3,,,,,,,,,,,,,,,,,,IEEE Xplore,,"TLDR: Experimental results demonstrate that CPU utilization increases over a period of time, when the work load remains the constant, and Linear Regression analysis is used for establishing this trend.",,C:\Users\tristone\Zotero\storage\73ECMWTI\7282360.html; C:\Users\tristone\Zotero\storage\3WIX4S9Y\Mohan和Reddy - 2015 - The effect of software aging on power usage.pdf,,系统类型：VMM; 验证方法：实验实证; 分析方式：度量; 老化影响：能耗增加; 模型：LR; 指标：CPU，Power usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 IEEE 9th International Conference on Intelligent Systems and Control (ISCO),,,,,,,,,,,,,,,
Q4B6C959,conferencePaper,2015,"Liu, Jing; Zhou, Jiantao; Buyya, Rajkumar",Software Rejuvenation Based Fault Tolerance Scheme for Cloud Applications,2015 IEEE 8th International Conference on Cloud Computing,,,10.1109/CLOUD.2015.164,http://ieeexplore.ieee.org/document/7214174/,"Cloud applications are typically composed of multiple cloud service components communicating with each other through web service interfaces, where each component fulfills specified functionalities. Lack of effective fault tolerance scheme is one of major obstacles for enhancing availability and efficiency of complex and aging cloud application systems. In this paper, we propose a holistic software rejuvenation based fault tolerance scheme for cloud applications, which contains three indispensible parts: adaptive failure detection, aging degree evaluation, and checkpoint with trace replay based component rejuvenation. Through a preliminary and qualitative evaluation, it shows that our new fault tolerance scheme brings promising improvement on the availability of cloud applications.",2015-06,2023-01-09 14:37:41,2024-10-12 06:21:56,2023-01-09 14:37:41,1115-1118,,,,,,,,,,,,,,,,,,Semantic Scholar,,"Conference Name: 2015 IEEE 8th International Conference on Cloud Computing (CLOUD) ISBN: 9781467372879 Place: New York City, NY, USA Publisher: IEEE CCF: C TLDR: A holistic software rejuvenation based fault tolerance scheme for cloud applications, which contains three indispensible parts: adaptive failure detection, aging degree evaluation, and checkpoint with trace replay based component rejuvenation is proposed.","<div data-schema-version=""8""><p>不足：未考虑网络故障</p> </div>; <div data-schema-version=""8""><p>概述：<span style=""color: rgb(0, 0, 0)"">提出了一种基于软件容错的云应用容错方案，其包括自适应故障检测、老化程度评估和基于跟踪重放的组件容错检查点</span></p> </div>; [TLDR] A holistic software rejuvenation based fault tolerance scheme for cloud applications, which contains three indispensible parts: adaptive failure detection, aging degree evaluation, and checkpoint with trace replay based component rejuvenation is proposed.",C:\Users\tristone\Zotero\storage\WW7NTTNI\Liu 等 - 2015 - Software Rejuvenation Based Fault Tolerance Scheme for Cloud Applications.pdf; ,https://www.semanticscholar.org/paper/Software-Rejuvenation-Based-Fault-Tolerance-Scheme-Liu-Zhou/0930ed509b0d008b15fb07bd08c2d43d274df403,方法：检查点机制，跟踪记录和重放，实时虚拟机迁移技术; 分析方式：Measurement-based（阈值）&other; 会议：CLOUD; 老化影响：崩溃/挂起故障; 系统类型：云应用系统; 验证方法：仿真模拟; 指标：内存，CPU利用率; 重生层级：节点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPXJU4G6,conferencePaper,2015,"Guo, Chunhui; Wu, Hao; Hua, Xiayu; Lautner, Douglas; Ren, Shangping",Use Two-Level Rejuvenation to Combat Software Aging and Maximize Average Resource Performance,"2015 IEEE 17th International Conference on High Performance Computing and Communications, 2015 IEEE 7th International Symposium on Cyberspace Safety and Security, and 2015 IEEE 12th International Conference on Embedded Software and Systems",,,10.1109/HPCC-CSS-ICESS.2015.306,,"Software aging is a common phenomenon which is often manifested through system performance degradation. Rejuvenation is one of the most commonly used approaches to handle issues caused by software aging. To combat resource performance degradation and at the same time maintain maximized average resource performance, we present a two-level rejuvenation strategy, i.e., interleaving a set of n warm rejuvenations with one cold rejuvenation. Our target is to find the optimal n that maximizes system average performance. We first define a resource model that takes into consideration of performance degradation and two-level rejuvenations. Based on the resource model, we formally analyze the resource supply and present the MAX-PERFORMANCE algorithm to determine the optimal rejuvenation pattern that maximizes the average resource performance. The simulation results show that with a two-level rejuvenation strategy, we can achieve 25.22% higher average resource performance compared with a single level rejuvenation strategy.",2015,2022-04-10 09:02:45,2024-10-03 08:52:39,,1160-1165,,,,,,,,,,,,,en-US,,,,,,,"CCF: C TLDR: A two-level rejuvenation strategy, i.e., interleaving a set of n warm rejuvenations with one cold rejuvenation to find the optimal n that maximizes system average performance, to combat resource performance degradation and maintain maximized average resource performance.","<div data-schema-version=""8""><p>不足：没有考虑负载</p> </div>; <div data-schema-version=""8""><p>概述：一种应用程序/物理机双层级重生技术</p> </div>; <div data-schema-version=""8""><p>优点：得出应用程序重启次数与物理机重启次数的最佳比值</p> </div>",C:\Users\tristone\Zotero\storage\ZLXK7HXJ\Guo 等 - 2015 - Use Two-Level Rejuvenation to Combat Software Aging and Maximize Average Resource Performance.pdf; C:\Users\tristone\Zotero\storage\KGZGPPPG\7336326.html,,老化影响：崩溃/挂起故障&性能降级; 系统类型：Android; 验证方法：仿真模拟&比较分析; 指标：重生代价; 会议：HPCC; 重生层级：应用程序&物理机; 模型：P^2D资源模型; 分析方式：rej&Model-based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2015 IEEE 17th International Conference on High Performance Computing and Communications, 2015 IEEE 7th International Symposium on Cyberspace Safety and Security, and 2015 IEEE 12th International Conference on Embedded Software and Systems",,,,,,,,,,,,,,,
